Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
Rank:159,Major:Safety Science,Degree Type:Bachelors,"Early Career Pay:$58,800","Mid-Career Pay:$100,300",% High Meaning:-
Rank:161,Major:Plastics Engineering Technology,Degree Type:Bachelors,"Early Career Pay:$63,800","Mid-Career Pay:$100,200",% High Meaning:31%
Rank:162,Major:Business Information Systems,Degree Type:Bachelors,"Early Career Pay:$61,700","Mid-Career Pay:$100,100",% High Meaning:44%
Rank:163,Major:International Management,Degree Type:Bachelors,"Early Career Pay:$49,300","Mid-Career Pay:$99,900",% High Meaning:52%
Rank:164,Major:Finance,Degree Type:Bachelors,"Early Career Pay:$56,800","Mid-Career Pay:$99,800",% High Meaning:41%
Rank:165,Major:Agricultural Economics,Degree Type:Bachelors,"Early Career Pay:$53,000","Mid-Career Pay:$99,700",% High Meaning:59%
Rank:166,Major:Economics & Political Science,Degree Type:Bachelors,"Early Career Pay:$54,200","Mid-Career Pay:$99,400",% High Meaning:50%
Rank:166,Major:Interactive Media,Degree Type:Bachelors,"Early Career Pay:$50,200","Mid-Career Pay:$99,400",% High Meaning:32%
Rank:168,Major:Computer Science & Information Technology,Degree Type:Bachelors,"Early Career Pay:$63,100","Mid-Career Pay:$99,100",% High Meaning:49%
Rank:169,Major:Agricultural Engineering (AE),Degree Type:Bachelors,"Early Career Pay:$60,400","Mid-Career Pay:$99,000",% High Meaning:61%
Rank:169,Major:Consumer Economics,Degree Type:Bachelors,"Early Career Pay:$51,200","Mid-Career Pay:$99,000",% High Meaning:38%
Rank:171,Major:International Business,Degree Type:Bachelors,"Early Career Pay:$52,100","Mid-Career Pay:$98,900",% High Meaning:40%
Rank:172,Major:Chinese Language,Degree Type:Bachelors,"Early Career Pay:$51,200","Mid-Career Pay:$98,700",% High Meaning:47%
Rank:172,Major:Financial Planning,Degree Type:Bachelors,"Early Career Pay:$50,400","Mid-Career Pay:$98,700",% High Meaning:57%
Rank:174,Major:Corporate Finance,Degree Type:Bachelors,"Early Career Pay:$61,000","Mid-Career Pay:$98,500",% High Meaning:43%
Rank:175,Major:Architectural Engineering,Degree Type:Bachelors,"Early Career Pay:$62,400","Mid-Career Pay:$98,400",% High Meaning:58%
Rank:176,Major:Building Construction Management,Degree Type:Bachelors,"Early Career Pay:$58,600","Mid-Career Pay:$98,000",% High Meaning:59%
Rank:177,Major:Engineering Technology (ET),Degree Type:Bachelors,"Early Career Pay:$55,300","Mid-Career Pay:$97,900",% High Meaning:50%
Rank:177,Major:Network Engineering,Degree Type:Bachelors,"Early Career Pay:$57,900","Mid-Career Pay:$97,900",% High Meaning:46%
Rank:179,Major:Computer Information Systems (CIS),Degree Type:Bachelors,"Early Career Pay:$56,900","Mid-Career Pay:$97,800",% High Meaning:45%
Rank:179,Major:International Marketing,Degree Type:Bachelors,"Early Career Pay:$56,200","Mid-Career Pay:$97,800",% High Meaning:18%
Rank:179,Major:Psychobiology,Degree Type:Bachelors,"Early Career Pay:$45,400","Mid-Career Pay:$97,800",% High Meaning:64%
Rank:182,Major:Electrical Engineering Technology (EET),Degree Type:Bachelors,"Early Career Pay:$63,100","Mid-Career Pay:$97,700",% High Meaning:48%
Rank:182,Major:Computer Information Systems,Degree Type:Bachelors,"Early Career Pay:$55,700","Mid-Career Pay:$97,700",% High Meaning:43%
Rank:182,Major:Real Estate,Degree Type:Bachelors,"Early Career Pay:$56,400","Mid-Career Pay:$97,700",% High Meaning:38%
Rank:182,Major:Molecular Biology,Degree Type:Bachelors,"Early Career Pay:$50,500","Mid-Career Pay:$97,700",% High Meaning:70%
Rank:186,Major:Operations Management (OM),Degree Type:Bachelors,"Early Career Pay:$58,000","Mid-Career Pay:$97,300",% High Meaning:43%
Rank:187,Major:Cybersecurity,Degree Type:Bachelors,"Early Career Pay:$63,000","Mid-Career Pay:$97,200",% High Meaning:55%
Rank:187,Major:Manufacturing,Degree Type:Bachelors,"Early Career Pay:$54,100","Mid-Career Pay:$97,200",% High Meaning:56%
Rank:189,Major:Construction Trades,Degree Type:Bachelors,"Early Career Pay:$56,300","Mid-Career Pay:$97,100",% High Meaning:57%
Rank:190,Major:International Relations,Degree Type:Bachelors,"Early Career Pay:$49,900","Mid-Career Pay:$96,800",% High Meaning:49%
Rank:190,Major:Politics,Degree Type:Bachelors,"Early Career Pay:$50,600","Mid-Career Pay:$96,800",% High Meaning:53%
Rank:192,Major:Economics & Management,Degree Type:Bachelors,"Early Career Pay:$52,700","Mid-Career Pay:$96,600",% High Meaning:-
Rank:193,Major:Industrial Hygiene,Degree Type:Bachelors,"Early Career Pay:$55,800","Mid-Career Pay:$96,200",% High Meaning:55%
Rank:194,Major:Software Development,Degree Type:Bachelors,"Early Career Pay:$61,000","Mid-Career Pay:$96,000",% High Meaning:44%
Rank:194,Major:Telecommunications Management,Degree Type:Bachelors,"Early Career Pay:$49,800","Mid-Career Pay:$96,000",% High Meaning:46%
Rank:196,Major:Supply Chain Management,Degree Type:Bachelors,"Early Career Pay:$59,000","Mid-Career Pay:$95,900",% High Meaning:41%
Rank:197,Major:Mechanical Engineering Technology (MET),Degree Type:Bachelors,"Early Career Pay:$61,200","Mid-Career Pay:$95,800",% High Meaning:48%
Rank:198,Major:Accounting & Auditing,Degree Type:Bachelors,"Early Career Pay:$55,400","Mid-Career Pay:$95,700",% High Meaning:42%
Rank:198,Major:Network Security,Degree Type:Bachelors,"Early Career Pay:$57,500","Mid-Career Pay:$95,700",% High Meaning:47%
