occupation_name,url,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29"
"     Substance abuse, behavioral disorder, and mental health counselors",https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,nan,nan,nan,nan,nan,nan,nan
     Speech-language pathologists,https://www.bls.gov/ooh/healthcare/speech-language-pathologists.htm,nan,nan,nan,nan,nan,nan,nan
     Light truck drivers,https://www.bls.gov/ooh/transportation-and-material-moving/delivery-truck-drivers-and-driver-sales-workers.htm,nan,nan,nan,nan,nan,nan,nan
     First-line supervisors of food preparation and serving workers,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#351012,nan,nan,nan,nan,nan,nan,nan
"     Sales representatives of services, except advertising, insurance, financial services, and travel",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#413091,nan,nan,nan,nan,nan,nan,nan
     Emergency medical technicians and paramedics,https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm,nan,nan,nan,nan,nan,nan,nan
     Firefighters,https://www.bls.gov/ooh/protective-service/firefighters.htm,nan,nan,nan,nan,nan,nan,nan
     Administrative services and facilities managers,https://www.bls.gov/ooh/management/administrative-services-managers.htm,nan,nan,nan,nan,nan,nan,nan
"     Medical scientists, except epidemiologists",https://www.bls.gov/ooh/life-physical-and-social-science/medical-scientists.htm,nan,nan,nan,nan,nan,nan,nan
     Coaches and scouts,https://www.bls.gov/ooh/entertainment-and-sports/coaches-and-scouts.htm,nan,nan,nan,nan,nan,nan,nan
"     Child, family, and school social workers",https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,nan,nan,nan,nan,nan,nan,nan
"     Community and social service specialists, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#211099,nan,nan,nan,nan,nan,nan,nan
"     Business teachers, postsecondary",https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,nan,nan,nan,nan,nan,nan,nan
     Residential advisors,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#399041,nan,nan,nan,nan,nan,nan,nan
     Medical and health services managers,https://www.bls.gov/ooh/management/medical-and-health-services-managers.htm,nan,nan,nan,nan,nan,nan,nan
     Physical therapist assistants,https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm,nan,nan,nan,nan,nan,nan,nan
     Home health and personal care aides,https://www.bls.gov/ooh/healthcare/home-health-aides-and-personal-care-aides.htm,nan,nan,nan,nan,nan,nan,nan
     Occupational therapy assistants,https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,nan,nan,nan,nan,nan,nan,nan
     Chefs and head cooks,https://www.bls.gov/ooh/food-preparation-and-serving/chefs-and-head-cooks.htm,nan,nan,nan,nan,nan,nan,nan
     Human resources managers,https://www.bls.gov/ooh/management/human-resources-managers.htm,nan,nan,nan,nan,nan,nan,nan
     Shampooers,https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#395093,nan,nan,nan,nan,nan,nan,nan
     Exercise physiologists,https://www.bls.gov/ooh/healthcare/exercise-physiologists.htm,nan,nan,nan,nan,nan,nan,nan
"     Makeup artists, theatrical and performance",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#395091,nan,nan,nan,nan,nan,nan,nan
     Management analysts,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,nan,nan,nan,nan,nan,nan,nan
"     Passenger vehicle drivers, except bus drivers, transit and intercity",https://www.bls.gov/ooh/transportation-and-material-moving/passenger-vehicle-drivers.htm,nan,nan,nan,nan,nan,nan,nan
"     First-line supervisors of personal service and entertainment and recreation workers, except gambling services",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#391098,nan,nan,nan,nan,nan,nan,nan
"     First-line supervisors of landscaping, lawn service, and groundskeeping workers",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#371012,nan,nan,nan,nan,nan,nan,nan
     Agricultural equipment operators,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,nan,nan,nan,nan,nan,nan,nan
     Urban and regional planners,https://www.bls.gov/ooh/life-physical-and-social-science/urban-and-regional-planners.htm,nan,nan,nan,nan,nan,nan,nan
     Psychiatric aides,https://www.bls.gov/ooh/healthcare/psychiatric-technicians-and-aides.htm,nan,nan,nan,nan,nan,nan,nan
     Tree trimmers and pruners,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,nan,nan,nan,nan,nan,nan,nan
     Health education specialists,https://www.bls.gov/ooh/community-and-social-service/health-educators.htm,nan,nan,nan,nan,nan,nan,nan
"     Derrick operators, oil and gas",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#475011,nan,nan,nan,nan,nan,nan,nan
     Information security analysts,https://www.bls.gov/ooh/computer-and-information-technology/information-security-analysts.htm,nan,nan,nan,nan,nan,nan,nan
     Physician assistants,https://www.bls.gov/ooh/healthcare/physician-assistants.htm,nan,nan,nan,nan,nan,nan,nan
"     Data scientists and mathematical science occupations, all other",https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#152098,nan,nan,nan,nan,nan,nan,nan
     Police and sheriff’s patrol officers,https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,nan,nan,nan,nan,nan,nan,nan
     Instructional coordinators,https://www.bls.gov/ooh/education-training-and-library/instructional-coordinators.htm,nan,nan,nan,nan,nan,nan,nan
