url,occupation_name,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29"
https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects.htm,     Computer network architects,"$112,690 per year  $54.18 per hour",Bachelor's degree,5 years or more,None,160100,5% (Faster than average),8000
https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,     Structural iron and steel workers,"$53,650 per year  $25.79 per hour",High school diploma or equivalent,None,Apprenticeship,95900,5% (Faster than average),4500
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Education teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"     Helpers--pipelayers, plumbers, pipefitters, and steamfitters","$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#111031,     Legislators,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#319093,     Medical equipment preparers,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#292051,     Dietetic technicians,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#131041,     Compliance officers,,,,,,,
https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,     Electrical engineers,"$101,250 per year  $48.68 per hour",Bachelor's degree,None,None,328100,3% (As fast as average),10800
https://www.bls.gov/ooh/production/bakers.htm,     Bakers,"$27,700 per year  $13.32 per hour",No formal educational credential,None,Long-term on-the-job training,199300,5% (Faster than average),10600
https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-body-and-glass-repairers.htm,     Automotive glass installers and repairers,"$42,350 per year  $20.36 per hour",High school diploma or equivalent,None,See How to Become One,179700,2% (Slower than average),4300
https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,"     Food processing workers, all other","$30,200 per year  $14.52 per hour",See How to Become One,None,Moderate-term on-the-job training,259200,1% (Slower than average),2100
https://www.bls.gov/ooh/farming-fishing-and-forestry/forest-and-conservation-workers.htm,     Forest and conservation workers,"$31,770 per year  $15.27 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,13200,0% (Little or no change),-100
https://www.bls.gov/ooh/healthcare/podiatrists.htm,     Podiatrists,"$126,240 per year  $60.69 per hour",Doctoral or professional degree,None,Internship/residency,10500,0% (Little or no change),0
https://www.bls.gov/ooh/healthcare/dentists.htm,"     Dentists, all other specialists","$159,200 per year  $76.54 per hour",Doctoral or professional degree,None,See How to Become One,151600,3% (As fast as average),4000
https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm,"     Administrative law judges, adjudicators, and hearing officers","$120,090 per year  $57.74 per hour",Doctoral or professional degree,5 years or more,Short-term on-the-job training,45300,2% (Slower than average),1100
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#518099,"     Plant and system operators, all other",,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#517031,"     Model makers, wood",,,,,,,
https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,"     Cooks, all other","$26,360 per year  $12.67 per hour",See How to Become One,See How to Become One,See How to Become One,2571700,10% (Much faster than average),256600
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,     Broadcast technicians,"$45,510 per year  $21.88 per hour",See How to Become One,None,Short-term on-the-job training,140300,9% (Much faster than average),13200
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#251193,"     Recreation and fitness studies teachers, postsecondary",,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#474061,     Rail-track laying and maintenance equipment operators,,,,,,,
https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm,     Compensation and benefits managers,"$122,270 per year  $58.78 per hour",Bachelor's degree,5 years or more,None,18000,3% (As fast as average),500
https://www.bls.gov/ooh/life-physical-and-social-science/microbiologists.htm,     Microbiologists,"$75,650 per year  $36.37 per hour",Bachelor's degree,None,None,20200,3% (As fast as average),600
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Library science teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/math/mathematicians-and-statisticians.htm,     Mathematicians,"$92,030 per year  $44.25 per hour",Master's degree,None,None,45700,33% (Much faster than average),14900
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Geography teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#499061,     Camera and photographic equipment repairers,,,,,,,
https://www.bls.gov/ooh/life-physical-and-social-science/historians.htm,     Historians,"$63,680 per year  $30.62 per hour",Master's degree,None,None,3500,3% (As fast as average),100
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#194061,     Social science research assistants,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#475051,"     Rock splitters, quarry",,,,,,,
https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,     Transit and railroad police,"$65,170 per year  $31.33 per hour",See How to Become One,See How to Become One,Moderate-term on-the-job training,813500,5% (Faster than average),40600
https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm,     Dredge operators,"$36,770 per year  $17.68 per hour",See How to Become One,See How to Become One,See How to Become One,761400,2% (Slower than average),19000
https://www.bls.gov/ooh/sales/travel-agents.htm,     Travel agents,"$40,660 per year  $19.55 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,82000,-26% (Decline),-21300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#439021,     Data entry keyers,,,,,,,
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,"     Credit authorizers, checkers, and clerks","$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#519032,"     Cutting and slicing machine setters, operators, and tenders",,,,,,,
https://www.bls.gov/ooh/media-and-communication/announcers.htm,     Broadcast announcers and radio disc jockeys,"$39,790 per year  $19.13 per hour",See How to Become One,None,See How to Become One,76000,1% (Slower than average),700
https://www.bls.gov/ooh/production/machinists-and-tool-and-die-makers.htm,     Tool and die makers,"$45,750 per year  $21.99 per hour",See How to Become One,None,Long-term on-the-job training,460600,3% (As fast as average),12400
https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,     Interior designers,"$56,040 per year  $26.94 per hour",Bachelor's degree,None,None,77900,-5% (Decline),-3800
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#132041,     Credit analysts,,,,,,,
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"     Human resources assistants, except payroll and timekeeping","$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000
https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,"     Packers and packagers, hand","$28,710 per year  $13.80 per hour",No formal educational credential,None,Short-term on-the-job training,4231600,3% (As fast as average),121300
https://www.bls.gov/ooh/office-and-administrative-support/general-office-clerks.htm,"     Office clerks, general","$34,040 per year  $16.37 per hour",High school diploma or equivalent,None,Short-term on-the-job training,3126300,-5% (Decline),-155900
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#411011,     First-line supervisors of retail sales workers,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#517032,"     Patternmakers, wood",,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#194071,     Forest and conservation technicians,,,,,,,
https://www.bls.gov/ooh/life-physical-and-social-science/biochemists-and-biophysicists.htm,     Biochemists and biophysicists,"$94,490 per year  $45.43 per hour",Doctoral or professional degree,None,None,34600,4% (As fast as average),1400
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#474090,     Miscellaneous construction and related workers,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#536098,"     Aircraft service attendants and transportation workers, all other",,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#333041,     Parking enforcement workers,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#439022,     Word processors and typists,,,,,,,
https://www.bls.gov/ooh/production/power-plant-operators-distributors-and-dispatchers.htm,     Nuclear power reactor operators,"$85,950 per year  $41.32 per hour",High school diploma or equivalent,None,Long-term on-the-job training,51700,-16% (Decline),-8100
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#499064,     Watch and clock repairers,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#519031,"     Cutters and trimmers, hand",,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#432021,     Telephone operators,,,,,,,
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Foreign language and literature teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,     Sound engineering technicians,"$45,510 per year  $21.88 per hour",See How to Become One,None,Short-term on-the-job training,140300,9% (Much faster than average),13200
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Social work teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#439111,     Statistical assistants,,,,,,,
https://www.bls.gov/ooh/protective-service/fire-inspectors-and-investigators.htm,     Fire inspectors and investigators,"$60,230 per year  $28.96 per hour",See How to Become One,See How to Become One,Moderate-term on-the-job training,16400,8% (Much faster than average),1400
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,     Gambling cage workers,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#536041,     Traffic technicians,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#339031,     Gambling surveillance officers and gambling investigators,,,,,,,
https://www.bls.gov/ooh/life-physical-and-social-science/atmospheric-scientists-including-meteorologists.htm,     Atmospheric and space scientists,"$95,380 per year  $45.86 per hour",Bachelor's degree,None,None,9900,6% (Faster than average),600
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#532022,     Airfield operations specialists,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#514194,"     Tool grinders, filers, and sharpeners",,,,,,,
https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm,     Hoist and winch operators,"$36,770 per year  $17.68 per hour",See How to Become One,See How to Become One,See How to Become One,761400,2% (Slower than average),19000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#519194,     Etchers and engravers,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#517099,"     Woodworkers, all other",,,,,,,
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"     Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters","$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,     Fiberglass laminators and fabricators,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#516099,"     Textile, apparel, and furnishings workers, all other",,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#271027,     Set and exhibit designers,,,,,,,
https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,     Sailors and marine oilers,"$57,330 per year  $27.56 per hour",See How to Become One,See How to Become One,See How to Become One,81900,0% (Little or no change),200
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#193099,"     Social scientists and related workers, all other",,,,,,,
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,"     Fine artists, including painters, sculptors, and illustrators","$48,760 per year  $23.44 per hour",See How to Become One,None,Long-term on-the-job training,51900,0% (Little or no change),100
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#519141,     Semiconductor processing technicians,,,,,,,
https://www.bls.gov/ooh/installation-maintenance-and-repair/small-engine-mechanics.htm,     Motorboat mechanics and service technicians,"$37,840 per year  $18.19 per hour",See How to Become One,None,See How to Become One,78100,3% (As fast as average),2200
https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,     Food cooking machine operators and tenders,"$30,200 per year  $14.52 per hour",See How to Become One,None,Moderate-term on-the-job training,259200,1% (Slower than average),2100
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#519192,"     Cleaning, washing, and metal pickling equipment operators and tenders",,,,,,,
https://www.bls.gov/ooh/architecture-and-engineering/marine-engineers-and-naval-architects.htm,     Marine engineers and naval architects,"$92,400 per year  $44.42 per hour",Bachelor's degree,None,None,11800,1% (Slower than average),200
https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,     Electrical and electronics drafters,"$56,830 per year  $27.32 per hour",Associate's degree,None,None,200900,-4% (Decline),-7100
https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,"     Drafters, all other","$56,830 per year  $27.32 per hour",Associate's degree,None,None,200900,-4% (Decline),-7100
https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,     Fish and game wardens,"$65,170 per year  $31.33 per hour",See How to Become One,See How to Become One,Moderate-term on-the-job training,813500,5% (Faster than average),40600
https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm,     Industrial-organizational psychologists,"$80,370 per year  $38.64 per hour",See How to Become One,None,Internship/residency,192300,3% (As fast as average),5700
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#119131,     Postmasters and mail superintendents,,,,,,,
https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm,     Legal secretaries and administrative assistants,"$39,850 per year  $19.16 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,3638800,-9% (Decline),-327400
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#499095,     Manufactured building and mobile home installers,,,,,,,
https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,"     Forging machine setters, operators, and tenders, metal and plastic","$36,990 per year  $17.78 per hour",See How to Become One,None,Moderate-term on-the-job training,1109400,-7% (Decline),-75800
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#515111,     Prepress technicians and workers,,,,,,,
https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm,     Executive secretaries and executive administrative assistants,"$39,850 per year  $19.16 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,3638800,-9% (Decline),-327400
https://www.bls.gov/ooh/arts-and-design/floral-designers.htm,     Floral designers,"$28,040 per year  $13.48 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,51800,-20% (Decline),-10400
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#419091,"     Door-to-door sales workers, news and street vendors, and related workers",,,,,,,
https://www.bls.gov/ooh/life-physical-and-social-science/nuclear-technicians.htm,     Nuclear technicians,"$82,080 per year  $39.46 per hour",Associate's degree,None,Moderate-term on-the-job training,6700,-19% (Decline),-1300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#519151,     Photographic process workers and processing machine operators,,,,,,,
https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,"     Library assistants, clerical","$30,560 per year  $14.69 per hour",See How to Become One,None,See How to Become One,184600,-4% (Decline),-7100
https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,"     Cooks, short order","$26,360 per year  $12.67 per hour",See How to Become One,See How to Become One,See How to Become One,2571700,10% (Much faster than average),256600
https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,     Payroll and timekeeping clerks,"$40,540 per year  $19.49 per hour",High school diploma or equivalent,None,See How to Become One,1343400,0% (Little or no change),3500
https://www.bls.gov/ooh/office-and-administrative-support/material-recording-clerks.htm,     Stockers and order fillers,"$30,010 per year  $14.43 per hour",High school diploma or equivalent,None,See How to Become One,3286000,-1% (Decline),-28100
https://www.bls.gov/ooh/sales/wholesale-and-manufacturing-sales-representatives.htm,"     Sales representatives, wholesale and manufacturing, except technical and scientific products","$63,000 per year  $30.29 per hour",See How to Become One,None,Moderate-term on-the-job training,1720700,2% (Slower than average),26200
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#519111,     Packaging and filling machine operators and tenders,,,,,,,
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,"     Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers","$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#412021,     Counter and rental clerks,,,,,,,
https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,"     Electronics engineers, except computer","$101,250 per year  $48.68 per hour",Bachelor's degree,None,None,328100,3% (As fast as average),10800
https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,     Food batchmakers,"$30,200 per year  $14.52 per hour",See How to Become One,None,Moderate-term on-the-job training,259200,1% (Slower than average),2100
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#172199,"     Engineers, all other",,,,,,,
https://www.bls.gov/ooh/management/food-service-managers.htm,     Food service managers,"$55,320 per year  $26.60 per hour",High school diploma or equivalent,Less than 5 years,None,352600,1% (Slower than average),2200
https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm,     Musicians and singers,$30.39 per hour,No formal educational credential,None,Long-term on-the-job training,175600,1% (Slower than average),1600
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#519023,"     Mixing and blending machine setters, operators, and tenders",,,,,,,
https://www.bls.gov/ooh/management/industrial-production-managers.htm,     Industrial production managers,"$105,480 per year  $50.71 per hour",Bachelor's degree,5 years or more,None,190100,1% (Slower than average),1700
https://www.bls.gov/ooh/installation-maintenance-and-repair/small-engine-mechanics.htm,     Motorcycle mechanics,"$37,840 per year  $18.19 per hour",See How to Become One,None,See How to Become One,78100,3% (As fast as average),2200
https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,     Gambling and sports book writers and runners,"$23,520 per year  $11.31 per hour",High school diploma or equivalent,See How to Become One,See How to Become One,187300,10% (Much faster than average),19000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#516052,"     Tailors, dressmakers, and custom sewers",,,,,,,
https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,     Commercial and industrial designers,"$68,890 per year  $33.12 per hour",Bachelor's degree,None,None,42200,-4% (Decline),-1500
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#516093,     Upholsterers,,,,,,,
https://www.bls.gov/ooh/arts-and-design/fashion-designers.htm,     Fashion designers,"$73,790 per year  $35.48 per hour",Bachelor's degree,None,None,28300,-4% (Decline),-1300
https://www.bls.gov/ooh/business-and-financial/tax-examiners-and-collectors-and-revenue-agents.htm,"     Tax examiners and collectors, and revenue agents","$54,890 per year  $26.39 per hour",Bachelor's degree,None,Moderate-term on-the-job training,57600,-4% (Decline),-2400
https://www.bls.gov/ooh/media-and-communication/photographers.htm,     Photographers,"$36,280 per year  $17.44 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,133500,-4% (Decline),-4800
https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,     Library technicians,"$30,560 per year  $14.69 per hour",See How to Become One,None,See How to Become One,184600,-4% (Decline),-7100
https://www.bls.gov/ooh/transportation-and-material-moving/air-traffic-controllers.htm,     Air traffic controllers,"$122,990 per year  $59.13 per hour",Associate's degree,None,Long-term on-the-job training,24300,1% (Slower than average),100
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#251192,"     Family and consumer sciences teachers, postsecondary",,,,,,,
https://www.bls.gov/ooh/sales/models.htm,     Models,"$28,350 per year  $13.63 per hour",No formal educational credential,None,None,2700,1% (Slower than average),0
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#536011,     Bridge and lock tenders,,,,,,,
https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm,     Avionics technicians,"$64,310 per year  $30.92 per hour",See How to Become One,None,None,160000,5% (Faster than average),7300
https://www.bls.gov/ooh/architecture-and-engineering/health-and-safety-engineers.htm,"     Health and safety engineers, except mining safety engineers and inspectors","$91,410 per year  $43.95 per hour",Bachelor's degree,None,None,26400,4% (As fast as average),1000
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Chemistry teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#472161,     Plasterers and stucco masons,,,,,,,
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,"     Helpers, construction trades, all other","$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#536061,     Passenger attendants,,,,,,,
https://www.bls.gov/ooh/installation-maintenance-and-repair/electrical-and-electronics-installers-and-repairers.htm,"     Electric motor, power tool, and related repairers","$59,080 per year  $28.40 per hour",See How to Become One,See How to Become One,See How to Become One,121700,-1% (Decline),-1000
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Physics teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/life-physical-and-social-science/zoologists-and-wildlife-biologists.htm,     Zoologists and wildlife biologists,"$63,270 per year  $30.42 per hour",Bachelor's degree,None,None,21000,4% (As fast as average),800
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#499011,     Mechanical door repairers,,,,,,,
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     History teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-science-technicians.htm,     Agricultural and food science technicians,"$41,230 per year  $19.82 per hour",Associate's degree,None,Moderate-term on-the-job training,24200,4% (As fast as average),1000
https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm,     Cartographers and photogrammetrists,"$65,470 per year  $31.47 per hour",Bachelor's degree,None,None,12000,4% (As fast as average),500
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Sociology teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm,     Food scientists and technologists,"$65,160 per year  $31.33 per hour",Bachelor's degree,None,None,34800,6% (Faster than average),2000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#537073,     Wellhead pumpers,,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#492021,"     Radio, cellular, and tower equipment installers and repairers",,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#432011,"     Switchboard operators, including answering service",,,,,,,
https://www.bls.gov/ooh/installation-maintenance-and-repair/electrical-and-electronics-installers-and-repairers.htm,"     Electronic equipment installers and repairers, motor vehicles","$59,080 per year  $28.40 per hour",See How to Become One,See How to Become One,See How to Become One,121700,-1% (Decline),-1000
https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,     Timing device assemblers and adjusters,"$33,710 per year  $16.21 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,1883700,-11% (Decline),-204300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#519193,     Cooling and freezing equipment operators and tenders,,,,,,,
https://www.bls.gov/ooh/life-physical-and-social-science/conservation-scientists.htm,     Foresters,"$62,410 per year  $30.01 per hour",Bachelor's degree,None,None,36100,5% (Faster than average),1700
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#119161,     Emergency management directors,,,,,,,
https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,     Pile driver operators,"$48,160 per year  $23.16 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,468300,4% (As fast as average),19200
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Environmental science teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Anthropology and archeology teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/architecture-and-engineering/mining-and-geological-engineers.htm,"     Mining and geological engineers, including mining safety engineers","$91,160 per year  $43.83 per hour",Bachelor's degree,None,None,6300,4% (As fast as average),300
https://www.bls.gov/ooh/life-physical-and-social-science/sociologists.htm,     Sociologists,"$83,420 per year  $40.10 per hour",Master's degree,None,None,3200,4% (As fast as average),100
https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm,     Sheet metal workers,"$50,400 per year  $24.23 per hour",High school diploma or equivalent,None,Apprenticeship,137700,1% (Slower than average),1800
https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineering-technicians.htm,     Industrial engineering technologists and technicians,"$56,550 per year  $27.19 per hour",Associate's degree,None,None,68500,1% (Slower than average),1000
https://www.bls.gov/ooh/architecture-and-engineering/architects.htm,"     Architects, except landscape and naval","$80,750 per year  $38.82 per hour",Bachelor's degree,None,Internship/residency,129900,1% (Slower than average),1100
https://www.bls.gov/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm,"     Mobile heavy equipment mechanics, except engines","$51,590 per year  $24.80 per hour",High school diploma or equivalent,None,Long-term on-the-job training,218100,0% (Little or no change),900
https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,     Detectives and criminal investigators,"$65,170 per year  $31.33 per hour",See How to Become One,See How to Become One,Moderate-term on-the-job training,813500,5% (Faster than average),40600
https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,"     Career/technical education teachers, postsecondary","$58,110 per year",Bachelor's degree,Less than 5 years,None,209700,2% (Slower than average),3400
https://www.bls.gov/ooh/management/preschool-and-childcare-center-directors.htm,"     Education and childcare administrators, preschool and daycare","$48,210 per year  $23.18 per hour",Bachelor's degree,Less than 5 years,None,69200,1% (Slower than average),700
https://www.bls.gov/ooh/sales/wholesale-and-manufacturing-sales-representatives.htm,"     Sales representatives, wholesale and manufacturing, technical and scientific products","$63,000 per year  $30.29 per hour",See How to Become One,None,Moderate-term on-the-job training,1720700,2% (Slower than average),26200
