url,occupation_name,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29"
https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm,     Budget analysts,"$76,540 per year  $36.80 per hour",Bachelor's degree,None,None,55400,3% (As fast as average),1900
https://www.bls.gov/ooh/life-physical-and-social-science/chemical-technicians.htm,     Chemical technicians,"$49,260 per year  $23.68 per hour",Associate's degree,None,Moderate-term on-the-job training,68100,3% (As fast as average),1900
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#533099,"     Motor vehicle operators, all other",,,,,,,
https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,     Purchasing managers,"$69,600 per year  $33.46 per hour",Bachelor's degree,See How to Become One,See How to Become One,526200,-7% (Decline),-37600
https://www.bls.gov/ooh/entertainment-and-sports/actors.htm,     Actors,$20.43 per hour,"Some college, no degree",None,Long-term on-the-job training,70100,3% (As fast as average),2100
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#212099,"     Religious workers, all other",,,,,,,
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,"     Special education teachers, middle school","$61,030 per year",Bachelor's degree,None,None,443700,3% (As fast as average),14300
https://www.bls.gov/ooh/business-and-financial/appraisers-and-assessors-of-real-estate.htm,     Property appraisers and assessors,"$57,010 per year  $27.41 per hour",Bachelor's degree,None,Long-term on-the-job training,75100,3% (As fast as average),2200
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#499096,     Riggers,,,,,,,
https://www.bls.gov/ooh/life-physical-and-social-science/conservation-scientists.htm,     Conservation scientists,"$62,410 per year  $30.01 per hour",Bachelor's degree,None,None,36100,5% (Faster than average),1700
https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,"     Insulation workers, mechanical","$44,180 per year  $21.24 per hour",See How to Become One,None,See How to Become One,61300,3% (As fast as average),1800
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#274098,"     Lighting technicians and media and communication equipment workers, all other",,,,,,,
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#231012,     Judicial law clerks,,,,,,,
https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,"     Agricultural workers, all other","$25,840 per year  $12.42 per hour",See How to Become One,None,See How to Become One,902900,1% (Slower than average),9200
https://www.bls.gov/ooh/architecture-and-engineering/electro-mechanical-technicians.htm,     Electro-mechanical and mechatronics technologists and technicians,"$58,350 per year  $28.05 per hour",Associate's degree,None,None,14600,3% (As fast as average),400
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#499069,"     Precision instrument and equipment repairers, all other",,,,,,,
https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,"     Career/technical education teachers, middle school","$58,110 per year",Bachelor's degree,Less than 5 years,None,209700,2% (Slower than average),3400
https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm,     Aircraft mechanics and service technicians,"$64,310 per year  $30.92 per hour",See How to Become One,None,None,160000,5% (Faster than average),7300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#331012,     First-line supervisors of police and detectives,,,,,,,
https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,"     Artists and related workers, all other","$48,760 per year  $23.44 per hour",See How to Become One,None,Long-term on-the-job training,51900,0% (Little or no change),100
https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,     Ship engineers,"$57,330 per year  $27.56 per hour",See How to Become One,See How to Become One,See How to Become One,81900,0% (Little or no change),200
https://www.bls.gov/ooh/construction-and-extraction/boilermakers.htm,     Boilermakers,"$63,100 per year  $30.34 per hour",High school diploma or equivalent,None,Apprenticeship,15900,1% (Slower than average),100
https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,     Helpers--roofers,"$36,000 per year  $17.31 per hour",See How to Become One,None,Short-term on-the-job training,1643900,5% (Faster than average),81000
https://www.bls.gov/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm,     Materials scientists,"$78,790 per year  $37.88 per hour",Bachelor's degree,None,None,93700,5% (Faster than average),4300
https://www.bls.gov/ooh/education-training-and-library/librarians.htm,     Librarians and media collections specialists,"$59,500 per year  $28.61 per hour",Bachelor's degree,None,None,146500,5% (Faster than average),7300
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#474051,     Highway maintenance workers,,,,,,,
https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,"     Court, municipal, and license clerks","$35,390 per year  $17.01 per hour",See How to Become One,None,See How to Become One,1465800,-3% (Decline),-38000
